ticker,alpha_daily,alpha_annual,beta_mkt,beta_smb,beta_hml,t_alpha,t_mkt,t_smb,t_hml,p_alpha,r2,n
AAPL,3.2e-05,0.008098,1.175213,-0.286734,-0.305829,0.097258,25.004335,-5.356417,-8.628084,0.922521,0.61017,1217
AMZN,-7.1e-05,-0.017808,1.305893,-0.226362,-0.571739,-0.177643,23.714628,-3.530878,-12.707258,0.859004,0.596161,1217
JNJ,-9.7e-05,-0.024568,0.321994,-0.241114,0.213521,-0.354827,10.60966,-5.475193,5.801005,0.722719,0.10891,1217
JPM,0.000243,0.061278,1.115533,-0.113447,0.813325,0.861956,33.127422,-2.488531,12.863339,0.388712,0.608867,1217
KO,-2.1e-05,-0.005352,0.46188,-0.34448,0.240684,-0.079662,11.380802,-7.360112,4.549385,0.936506,0.225861,1217
META,0.000598,0.150581,1.419303,-0.301647,-0.63809,0.962737,22.013267,-2.941301,-9.061455,0.335679,0.450248,1217
MSFT,0.000366,0.09235,1.064055,-0.429977,-0.467667,1.400324,24.504391,-9.929409,-15.71117,0.161416,0.682046,1217
NVDA,0.001903,0.479584,1.835857,-0.341012,-1.035107,3.179293,28.775298,-3.937063,-13.935701,0.001476,0.587597,1217
TSLA,0.00069,0.173991,1.688954,0.596315,-0.654562,0.774701,17.270017,4.508657,-5.968799,0.438516,0.378361,1217
XOM,0.000436,0.109926,0.867694,-0.050295,1.028369,1.095152,16.026551,-0.776913,17.312928,0.27345,0.410247,1217
