ticker,R2_FF3,R2_FF5,R2_Car4,R2_FF5M,R2_best,dR2_best_minus_FF3,alpha_ann_FF3,alpha_ann_FF5,alpha_ann_Car4,alpha_ann_FF5M,p_alpha_FF3,p_alpha_FF5,p_alpha_Car4,p_alpha_FF5M
KO,0.21092716506946685,0.24097571285783248,0.2364932256396668,0.2684972744201607,0.2684972744201607,0.05757010935069384,-0.0037998030256008604,-0.01583501673071562,0.00031899674937082347,-0.010725019125500976,0.9553370563719852,0.8104909943189009,0.996238831181792,0.870201919625234
JNJ,0.09900009877595917,0.10744663631532314,0.12331511898183933,0.1361694460510473,0.1361694460510473,0.03716934727508814,-0.022300063031433455,-0.02835802069056887,-0.01812601037972001,-0.02293327412784227,0.7485451523259219,0.6800942896265622,0.793743684675831,0.736388206447681
XOM,0.4099177399099059,0.4354039323841058,0.413774807674124,0.44405752127538767,0.44405752127538767,0.03413978136548179,0.11188100961773384,0.1299438979117841,0.11473888037253038,0.13506257185813728,0.26511255587770866,0.1870464626377315,0.2535700763704959,0.17021628923839205
AAPL,0.6117190981121554,0.6443549233794823,0.6119160548744378,0.6457022748703153,0.6457022748703153,0.03398317675815987,0.0056237227947510075,-0.012576912737134105,0.006258689258557515,-0.01059104106483972,0.9459174460593547,0.8751825199044383,0.9397651876896916,0.8944798058768865
AMZN,0.5983563017734173,0.627069417286791,0.6038385122759109,0.6279189849198011,0.6279189849198011,0.029562683146383884,-0.021687741879024728,-0.019775631131210787,-0.017576541215068478,-0.017840389547891754,0.8286145718138158,0.8387422785604548,0.8592669321609347,0.8540884211491266
JPM,0.6072246143958357,0.6250400848092563,0.6134160327320375,0.6282520263766842,0.6282520263766842,0.021027411980848454,0.0638266102405986,0.07303246603064019,0.06699351818077699,0.0757599962397566,0.3701333487947338,0.2941209827036948,0.35022251901595225,0.28025859772645434
TSLA,0.37474713700173334,0.3933226523666865,0.3750237666971876,0.3947440568989753,0.3947440568989753,0.01999691989724195,0.17035734624990817,0.1975538567450917,0.1687370186143882,0.1931619038368594,0.4495369388818967,0.37227499831803534,0.4535713247715768,0.38110027552321735
MSFT,0.6845793134870404,0.7005638567394903,0.6846613782350022,0.701877869786805,0.701877869786805,0.017298556299764623,0.0892702602156404,0.07753111545858023,0.08889432855661539,0.07573234474920221,0.17315834563065213,0.22027354321817738,0.17536667769978254,0.23075850019979738
META,0.45119169782790025,0.4630538719579831,0.4548862309541539,0.464057410352677,0.464057410352677,0.012865712524776751,0.14764480839283345,0.1408471965558922,0.1518697636496882,0.14348021993371718,0.34466818309548397,0.36566887255383074,0.32875467286398463,0.35524861093482274
NVDA,0.5923024440419342,0.5925588426735916,0.6016569299839405,0.6017981578212646,0.6017981578212646,0.00949571377933034,0.46970354709466106,0.4707259919203784,0.46164397192817774,0.4611481544257908,0.001802963481956512,0.0015552475927297356,0.0018597410812120634,0.0016447928171825694
